"","Scenario","Unit","Region","Variable","Year","Value"
"46","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2011,0
"47","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2011,0
"48","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2011,0
"49","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2011,0
"50","Canada Net-zero","Megatonnes","Nunavut","Biomass",2011,0
"51","Canada Net-zero","Megatonnes","Ontario","Biomass",2011,0
"52","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2011,0
"53","Canada Net-zero","Megatonnes","Quebec","Biomass",2011,0
"54","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2011,0
"55","Canada Net-zero","Megatonnes","Yukon","Biomass",2011,0
"56","Canada Net-zero","Megatonnes","Canada","Biomass",2011,0
"57","Current Measures","Megatonnes","Alberta","Biomass",2011,0
"58","Current Measures","Megatonnes","British Columbia","Biomass",2011,0
"59","Current Measures","Megatonnes","Manitoba","Biomass",2011,0
"60","Current Measures","Megatonnes","New Brunswick","Biomass",2011,0
"61","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2011,0
"62","Current Measures","Megatonnes","Northwest Territories","Biomass",2011,0
"63","Current Measures","Megatonnes","Nova Scotia","Biomass",2011,0
"64","Current Measures","Megatonnes","Nunavut","Biomass",2011,0
"65","Current Measures","Megatonnes","Ontario","Biomass",2011,0
"66","Current Measures","Megatonnes","Prince Edward Island","Biomass",2011,0
"67","Current Measures","Megatonnes","Quebec","Biomass",2011,0
"68","Current Measures","Megatonnes","Saskatchewan","Biomass",2011,0
"69","Current Measures","Megatonnes","Yukon","Biomass",2011,0
"70","Current Measures","Megatonnes","Canada","Biomass",2011,0
"71","Global Net-zero","Megatonnes","Alberta","Biomass",2011,0
"72","Global Net-zero","Megatonnes","British Columbia","Biomass",2011,0
"73","Global Net-zero","Megatonnes","Manitoba","Biomass",2011,0
"74","Global Net-zero","Megatonnes","New Brunswick","Biomass",2011,0
"75","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2011,0
"76","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2011,0
"77","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2011,0
"78","Global Net-zero","Megatonnes","Nunavut","Biomass",2011,0
"79","Global Net-zero","Megatonnes","Ontario","Biomass",2011,0
"80","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2011,0
"81","Global Net-zero","Megatonnes","Quebec","Biomass",2011,0
"82","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2011,0
"83","Global Net-zero","Megatonnes","Yukon","Biomass",2011,0
"84","Global Net-zero","Megatonnes","Canada","Biomass",2011,0
"85","Canada Net-zero","Megatonnes","Alberta","Biomass",2012,0
"86","Canada Net-zero","Megatonnes","British Columbia","Biomass",2012,0
"87","Canada Net-zero","Megatonnes","Manitoba","Biomass",2012,0
"88","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2012,0
"89","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2012,0
"90","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2012,0
"91","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2012,0
"92","Canada Net-zero","Megatonnes","Nunavut","Biomass",2012,0
"93","Canada Net-zero","Megatonnes","Ontario","Biomass",2012,0
"94","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2012,0
"95","Canada Net-zero","Megatonnes","Quebec","Biomass",2012,0
"96","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2012,0
"97","Canada Net-zero","Megatonnes","Yukon","Biomass",2012,0
"98","Canada Net-zero","Megatonnes","Canada","Biomass",2012,0
"99","Current Measures","Megatonnes","Alberta","Biomass",2012,0
"100","Current Measures","Megatonnes","British Columbia","Biomass",2012,0
"101","Current Measures","Megatonnes","Manitoba","Biomass",2012,0
"102","Current Measures","Megatonnes","New Brunswick","Biomass",2012,0
"103","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2012,0
"104","Current Measures","Megatonnes","Northwest Territories","Biomass",2012,0
"105","Current Measures","Megatonnes","Nova Scotia","Biomass",2012,0
"106","Current Measures","Megatonnes","Nunavut","Biomass",2012,0
"107","Current Measures","Megatonnes","Ontario","Biomass",2012,0
"108","Current Measures","Megatonnes","Prince Edward Island","Biomass",2012,0
"109","Current Measures","Megatonnes","Quebec","Biomass",2012,0
"110","Current Measures","Megatonnes","Saskatchewan","Biomass",2012,0
"111","Current Measures","Megatonnes","Yukon","Biomass",2012,0
"112","Current Measures","Megatonnes","Canada","Biomass",2012,0
"113","Global Net-zero","Megatonnes","Alberta","Biomass",2012,0
"114","Global Net-zero","Megatonnes","British Columbia","Biomass",2012,0
"115","Global Net-zero","Megatonnes","Manitoba","Biomass",2012,0
"116","Global Net-zero","Megatonnes","New Brunswick","Biomass",2012,0
"117","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2012,0
"118","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2012,0
"119","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2012,0
"120","Global Net-zero","Megatonnes","Nunavut","Biomass",2012,0
"121","Global Net-zero","Megatonnes","Ontario","Biomass",2012,0
"122","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2012,0
"123","Global Net-zero","Megatonnes","Quebec","Biomass",2012,0
"124","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2012,0
"125","Global Net-zero","Megatonnes","Yukon","Biomass",2012,0
"126","Global Net-zero","Megatonnes","Canada","Biomass",2012,0
"127","Canada Net-zero","Megatonnes","Alberta","Biomass",2013,0
"128","Canada Net-zero","Megatonnes","British Columbia","Biomass",2013,0
"129","Canada Net-zero","Megatonnes","Manitoba","Biomass",2013,0
"130","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2013,0
"131","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2013,0
"132","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2013,0
"133","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2013,0
"134","Canada Net-zero","Megatonnes","Nunavut","Biomass",2013,0
"135","Canada Net-zero","Megatonnes","Ontario","Biomass",2013,0
"136","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2013,0
"137","Canada Net-zero","Megatonnes","Quebec","Biomass",2013,0
"138","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2013,0
"139","Canada Net-zero","Megatonnes","Yukon","Biomass",2013,0
"140","Canada Net-zero","Megatonnes","Canada","Biomass",2013,0
"141","Current Measures","Megatonnes","Alberta","Biomass",2013,0
"142","Current Measures","Megatonnes","British Columbia","Biomass",2013,0
"143","Current Measures","Megatonnes","Manitoba","Biomass",2013,0
"144","Current Measures","Megatonnes","New Brunswick","Biomass",2013,0
"145","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2013,0
"146","Current Measures","Megatonnes","Northwest Territories","Biomass",2013,0
"147","Current Measures","Megatonnes","Nova Scotia","Biomass",2013,0
"148","Current Measures","Megatonnes","Nunavut","Biomass",2013,0
"149","Current Measures","Megatonnes","Ontario","Biomass",2013,0
"150","Current Measures","Megatonnes","Prince Edward Island","Biomass",2013,0
"151","Current Measures","Megatonnes","Quebec","Biomass",2013,0
"152","Current Measures","Megatonnes","Saskatchewan","Biomass",2013,0
"153","Current Measures","Megatonnes","Yukon","Biomass",2013,0
"154","Current Measures","Megatonnes","Canada","Biomass",2013,0
"155","Global Net-zero","Megatonnes","Alberta","Biomass",2013,0
"156","Global Net-zero","Megatonnes","British Columbia","Biomass",2013,0
"157","Global Net-zero","Megatonnes","Manitoba","Biomass",2013,0
"158","Global Net-zero","Megatonnes","New Brunswick","Biomass",2013,0
"159","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2013,0
"160","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2013,0
"161","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2013,0
"162","Global Net-zero","Megatonnes","Nunavut","Biomass",2013,0
"163","Global Net-zero","Megatonnes","Ontario","Biomass",2013,0
"164","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2013,0
"165","Global Net-zero","Megatonnes","Quebec","Biomass",2013,0
"166","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2013,0
"167","Global Net-zero","Megatonnes","Yukon","Biomass",2013,0
"168","Global Net-zero","Megatonnes","Canada","Biomass",2013,0
"169","Canada Net-zero","Megatonnes","Alberta","Biomass",2014,0
"170","Canada Net-zero","Megatonnes","British Columbia","Biomass",2014,0
"171","Canada Net-zero","Megatonnes","Manitoba","Biomass",2014,0
"172","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2014,0
"173","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2014,0
"174","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2014,0
"175","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2014,0
"176","Canada Net-zero","Megatonnes","Nunavut","Biomass",2014,0
"177","Canada Net-zero","Megatonnes","Ontario","Biomass",2014,0
"178","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2014,0
"179","Canada Net-zero","Megatonnes","Quebec","Biomass",2014,0
"180","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2014,0
"181","Canada Net-zero","Megatonnes","Yukon","Biomass",2014,0
"182","Canada Net-zero","Megatonnes","Canada","Biomass",2014,0
"183","Current Measures","Megatonnes","Alberta","Biomass",2014,0
"184","Current Measures","Megatonnes","British Columbia","Biomass",2014,0
"185","Current Measures","Megatonnes","Manitoba","Biomass",2014,0
"186","Current Measures","Megatonnes","New Brunswick","Biomass",2014,0
"187","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2014,0
"188","Current Measures","Megatonnes","Northwest Territories","Biomass",2014,0
"189","Current Measures","Megatonnes","Nova Scotia","Biomass",2014,0
"190","Current Measures","Megatonnes","Nunavut","Biomass",2014,0
"191","Current Measures","Megatonnes","Ontario","Biomass",2014,0
"192","Current Measures","Megatonnes","Prince Edward Island","Biomass",2014,0
"193","Current Measures","Megatonnes","Quebec","Biomass",2014,0
"194","Current Measures","Megatonnes","Saskatchewan","Biomass",2014,0
"195","Current Measures","Megatonnes","Yukon","Biomass",2014,0
"196","Current Measures","Megatonnes","Canada","Biomass",2014,0
"197","Global Net-zero","Megatonnes","Alberta","Biomass",2014,0
"198","Global Net-zero","Megatonnes","British Columbia","Biomass",2014,0
"199","Global Net-zero","Megatonnes","Manitoba","Biomass",2014,0
"200","Global Net-zero","Megatonnes","New Brunswick","Biomass",2014,0
"201","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2014,0
"202","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2014,0
"203","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2014,0
"204","Global Net-zero","Megatonnes","Nunavut","Biomass",2014,0
"205","Global Net-zero","Megatonnes","Ontario","Biomass",2014,0
"206","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2014,0
"207","Global Net-zero","Megatonnes","Quebec","Biomass",2014,0
"208","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2014,0
"209","Global Net-zero","Megatonnes","Yukon","Biomass",2014,0
"210","Global Net-zero","Megatonnes","Canada","Biomass",2014,0
"211","Canada Net-zero","Megatonnes","Alberta","Biomass",2015,0
"212","Canada Net-zero","Megatonnes","British Columbia","Biomass",2015,0
"213","Canada Net-zero","Megatonnes","Manitoba","Biomass",2015,0
"214","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2015,0
"215","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2015,0
"216","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2015,0
"217","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2015,0
"218","Canada Net-zero","Megatonnes","Nunavut","Biomass",2015,0
"219","Canada Net-zero","Megatonnes","Ontario","Biomass",2015,0
"220","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2015,0
"221","Canada Net-zero","Megatonnes","Quebec","Biomass",2015,0
"222","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2015,0
"223","Canada Net-zero","Megatonnes","Yukon","Biomass",2015,0
"224","Canada Net-zero","Megatonnes","Canada","Biomass",2015,0
"225","Current Measures","Megatonnes","Alberta","Biomass",2015,0
"226","Current Measures","Megatonnes","British Columbia","Biomass",2015,0
"227","Current Measures","Megatonnes","Manitoba","Biomass",2015,0
"228","Current Measures","Megatonnes","New Brunswick","Biomass",2015,0
"229","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2015,0
"230","Current Measures","Megatonnes","Northwest Territories","Biomass",2015,0
"231","Current Measures","Megatonnes","Nova Scotia","Biomass",2015,0
"232","Current Measures","Megatonnes","Nunavut","Biomass",2015,0
"233","Current Measures","Megatonnes","Ontario","Biomass",2015,0
"234","Current Measures","Megatonnes","Prince Edward Island","Biomass",2015,0
"235","Current Measures","Megatonnes","Quebec","Biomass",2015,0
"236","Current Measures","Megatonnes","Saskatchewan","Biomass",2015,0
"237","Current Measures","Megatonnes","Yukon","Biomass",2015,0
"238","Current Measures","Megatonnes","Canada","Biomass",2015,0
"239","Global Net-zero","Megatonnes","Alberta","Biomass",2015,0
"240","Global Net-zero","Megatonnes","British Columbia","Biomass",2015,0
"241","Global Net-zero","Megatonnes","Manitoba","Biomass",2015,0
"242","Global Net-zero","Megatonnes","New Brunswick","Biomass",2015,0
"243","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2015,0
"244","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2015,0
"245","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2015,0
"246","Global Net-zero","Megatonnes","Nunavut","Biomass",2015,0
"247","Global Net-zero","Megatonnes","Ontario","Biomass",2015,0
"248","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2015,0
"249","Global Net-zero","Megatonnes","Quebec","Biomass",2015,0
"250","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2015,0
"251","Global Net-zero","Megatonnes","Yukon","Biomass",2015,0
"252","Global Net-zero","Megatonnes","Canada","Biomass",2015,0
"253","Canada Net-zero","Megatonnes","Alberta","Biomass",2016,0
"254","Canada Net-zero","Megatonnes","British Columbia","Biomass",2016,0
"255","Canada Net-zero","Megatonnes","Manitoba","Biomass",2016,0
"256","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2016,0
"257","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2016,0
"258","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2016,0
"259","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2016,0
"260","Canada Net-zero","Megatonnes","Nunavut","Biomass",2016,0
"261","Canada Net-zero","Megatonnes","Ontario","Biomass",2016,0
"262","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2016,0
"263","Canada Net-zero","Megatonnes","Quebec","Biomass",2016,0
"264","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2016,0
"265","Canada Net-zero","Megatonnes","Yukon","Biomass",2016,0
"266","Canada Net-zero","Megatonnes","Canada","Biomass",2016,0
"267","Current Measures","Megatonnes","Alberta","Biomass",2016,0
"268","Current Measures","Megatonnes","British Columbia","Biomass",2016,0
"269","Current Measures","Megatonnes","Manitoba","Biomass",2016,0
"270","Current Measures","Megatonnes","New Brunswick","Biomass",2016,0
"271","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2016,0
"272","Current Measures","Megatonnes","Northwest Territories","Biomass",2016,0
"273","Current Measures","Megatonnes","Nova Scotia","Biomass",2016,0
"274","Current Measures","Megatonnes","Nunavut","Biomass",2016,0
"275","Current Measures","Megatonnes","Ontario","Biomass",2016,0
"276","Current Measures","Megatonnes","Prince Edward Island","Biomass",2016,0
"277","Current Measures","Megatonnes","Quebec","Biomass",2016,0
"278","Current Measures","Megatonnes","Saskatchewan","Biomass",2016,0
"279","Current Measures","Megatonnes","Yukon","Biomass",2016,0
"280","Current Measures","Megatonnes","Canada","Biomass",2016,0
"281","Global Net-zero","Megatonnes","Alberta","Biomass",2016,0
"282","Global Net-zero","Megatonnes","British Columbia","Biomass",2016,0
"283","Global Net-zero","Megatonnes","Manitoba","Biomass",2016,0
"284","Global Net-zero","Megatonnes","New Brunswick","Biomass",2016,0
"285","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2016,0
"286","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2016,0
"287","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2016,0
"288","Global Net-zero","Megatonnes","Nunavut","Biomass",2016,0
"289","Global Net-zero","Megatonnes","Ontario","Biomass",2016,0
"290","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2016,0
"291","Global Net-zero","Megatonnes","Quebec","Biomass",2016,0
"292","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2016,0
"293","Global Net-zero","Megatonnes","Yukon","Biomass",2016,0
"294","Global Net-zero","Megatonnes","Canada","Biomass",2016,0
"295","Canada Net-zero","Megatonnes","Alberta","Biomass",2017,0
"296","Canada Net-zero","Megatonnes","British Columbia","Biomass",2017,0
"297","Canada Net-zero","Megatonnes","Manitoba","Biomass",2017,0
"298","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2017,0
"299","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2017,0
"300","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2017,0
"301","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2017,0
"302","Canada Net-zero","Megatonnes","Nunavut","Biomass",2017,0
"303","Canada Net-zero","Megatonnes","Ontario","Biomass",2017,0
"304","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2017,0
"305","Canada Net-zero","Megatonnes","Quebec","Biomass",2017,0
"306","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2017,0
"307","Canada Net-zero","Megatonnes","Yukon","Biomass",2017,0
"308","Canada Net-zero","Megatonnes","Canada","Biomass",2017,0
"309","Current Measures","Megatonnes","Alberta","Biomass",2017,0
"310","Current Measures","Megatonnes","British Columbia","Biomass",2017,0
"311","Current Measures","Megatonnes","Manitoba","Biomass",2017,0
"312","Current Measures","Megatonnes","New Brunswick","Biomass",2017,0
"313","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2017,0
"314","Current Measures","Megatonnes","Northwest Territories","Biomass",2017,0
"315","Current Measures","Megatonnes","Nova Scotia","Biomass",2017,0
"316","Current Measures","Megatonnes","Nunavut","Biomass",2017,0
"317","Current Measures","Megatonnes","Ontario","Biomass",2017,0
"318","Current Measures","Megatonnes","Prince Edward Island","Biomass",2017,0
"319","Current Measures","Megatonnes","Quebec","Biomass",2017,0
"320","Current Measures","Megatonnes","Saskatchewan","Biomass",2017,0
"321","Current Measures","Megatonnes","Yukon","Biomass",2017,0
"322","Current Measures","Megatonnes","Canada","Biomass",2017,0
"323","Global Net-zero","Megatonnes","Alberta","Biomass",2017,0
"324","Global Net-zero","Megatonnes","British Columbia","Biomass",2017,0
"325","Global Net-zero","Megatonnes","Manitoba","Biomass",2017,0
"326","Global Net-zero","Megatonnes","New Brunswick","Biomass",2017,0
"327","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2017,0
"328","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2017,0
"329","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2017,0
"330","Global Net-zero","Megatonnes","Nunavut","Biomass",2017,0
"331","Global Net-zero","Megatonnes","Ontario","Biomass",2017,0
"332","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2017,0
"333","Global Net-zero","Megatonnes","Quebec","Biomass",2017,0
"334","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2017,0
"335","Global Net-zero","Megatonnes","Yukon","Biomass",2017,0
"336","Global Net-zero","Megatonnes","Canada","Biomass",2017,0
"337","Canada Net-zero","Megatonnes","Alberta","Biomass",2018,0
"338","Canada Net-zero","Megatonnes","British Columbia","Biomass",2018,0
"339","Canada Net-zero","Megatonnes","Manitoba","Biomass",2018,0
"340","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2018,0
"341","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2018,0
"342","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2018,0
"343","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2018,0
"344","Canada Net-zero","Megatonnes","Nunavut","Biomass",2018,0
"345","Canada Net-zero","Megatonnes","Ontario","Biomass",2018,0
"346","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2018,0
"347","Canada Net-zero","Megatonnes","Quebec","Biomass",2018,0
"348","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2018,0
"349","Canada Net-zero","Megatonnes","Yukon","Biomass",2018,0
"350","Canada Net-zero","Megatonnes","Canada","Biomass",2018,0
"351","Current Measures","Megatonnes","Alberta","Biomass",2018,0
"352","Current Measures","Megatonnes","British Columbia","Biomass",2018,0
"353","Current Measures","Megatonnes","Manitoba","Biomass",2018,0
"354","Current Measures","Megatonnes","New Brunswick","Biomass",2018,0
"355","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2018,0
"356","Current Measures","Megatonnes","Northwest Territories","Biomass",2018,0
"357","Current Measures","Megatonnes","Nova Scotia","Biomass",2018,0
"358","Current Measures","Megatonnes","Nunavut","Biomass",2018,0
"359","Current Measures","Megatonnes","Ontario","Biomass",2018,0
"360","Current Measures","Megatonnes","Prince Edward Island","Biomass",2018,0
"361","Current Measures","Megatonnes","Quebec","Biomass",2018,0
"362","Current Measures","Megatonnes","Saskatchewan","Biomass",2018,0
"363","Current Measures","Megatonnes","Yukon","Biomass",2018,0
"364","Current Measures","Megatonnes","Canada","Biomass",2018,0
"365","Global Net-zero","Megatonnes","Alberta","Biomass",2018,0
"366","Global Net-zero","Megatonnes","British Columbia","Biomass",2018,0
"367","Global Net-zero","Megatonnes","Manitoba","Biomass",2018,0
"368","Global Net-zero","Megatonnes","New Brunswick","Biomass",2018,0
"369","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2018,0
"370","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2018,0
"371","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2018,0
"372","Global Net-zero","Megatonnes","Nunavut","Biomass",2018,0
"373","Global Net-zero","Megatonnes","Ontario","Biomass",2018,0
"374","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2018,0
"375","Global Net-zero","Megatonnes","Quebec","Biomass",2018,0
"376","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2018,0
"377","Global Net-zero","Megatonnes","Yukon","Biomass",2018,0
"378","Global Net-zero","Megatonnes","Canada","Biomass",2018,0
"379","Canada Net-zero","Megatonnes","Alberta","Biomass",2019,0
"380","Canada Net-zero","Megatonnes","British Columbia","Biomass",2019,0
"381","Canada Net-zero","Megatonnes","Manitoba","Biomass",2019,0
"382","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2019,0
"383","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2019,0
"384","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2019,0
"385","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2019,0
"386","Canada Net-zero","Megatonnes","Nunavut","Biomass",2019,0
"387","Canada Net-zero","Megatonnes","Ontario","Biomass",2019,0
"388","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2019,0
"389","Canada Net-zero","Megatonnes","Quebec","Biomass",2019,0
"390","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2019,0
"391","Canada Net-zero","Megatonnes","Yukon","Biomass",2019,0
"392","Canada Net-zero","Megatonnes","Canada","Biomass",2019,0
"393","Current Measures","Megatonnes","Alberta","Biomass",2019,0
"394","Current Measures","Megatonnes","British Columbia","Biomass",2019,0
"395","Current Measures","Megatonnes","Manitoba","Biomass",2019,0
"396","Current Measures","Megatonnes","New Brunswick","Biomass",2019,0
"397","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2019,0
"398","Current Measures","Megatonnes","Northwest Territories","Biomass",2019,0
"399","Current Measures","Megatonnes","Nova Scotia","Biomass",2019,0
"400","Current Measures","Megatonnes","Nunavut","Biomass",2019,0
"401","Current Measures","Megatonnes","Ontario","Biomass",2019,0
"402","Current Measures","Megatonnes","Prince Edward Island","Biomass",2019,0
"403","Current Measures","Megatonnes","Quebec","Biomass",2019,0
"404","Current Measures","Megatonnes","Saskatchewan","Biomass",2019,0
"405","Current Measures","Megatonnes","Yukon","Biomass",2019,0
