"","Scenario","Year","Unit","Variable","Value"
"73","Current Measures","2031","Megatonnes","Oil and Gas",170.809963527867
"74","Current Measures","2032","Megatonnes","Oil and Gas",167.988576922985
"75","Current Measures","2033","Megatonnes","Oil and Gas",166.120234992641
"76","Current Measures","2034","Megatonnes","Oil and Gas",160.098130655311
"77","Current Measures","2035","Megatonnes","Oil and Gas",159.324489887609
"78","Current Measures","2036","Megatonnes","Oil and Gas",158.038237069463
"79","Current Measures","2037","Megatonnes","Oil and Gas",156.790216687845
"80","Current Measures","2038","Megatonnes","Oil and Gas",155.783371591745
"81","Current Measures","2039","Megatonnes","Oil and Gas",155.225520759312
"82","Current Measures","2040","Megatonnes","Oil and Gas",154.809773034043
"83","Current Measures","2041","Megatonnes","Oil and Gas",154.139516024432
"84","Current Measures","2042","Megatonnes","Oil and Gas",153.349352318592
"85","Current Measures","2043","Megatonnes","Oil and Gas",152.229044059341
"86","Current Measures","2044","Megatonnes","Oil and Gas",151.525156886474
"87","Current Measures","2045","Megatonnes","Oil and Gas",150.58680606483
"88","Current Measures","2046","Megatonnes","Oil and Gas",150.071712081684
"89","Current Measures","2047","Megatonnes","Oil and Gas",149.624248547384
"90","Current Measures","2048","Megatonnes","Oil and Gas",149.264521393616
"91","Current Measures","2049","Megatonnes","Oil and Gas",149.139844636301
"92","Current Measures","2050","Megatonnes","Oil and Gas",148.827119898157
"93","Current Measures","2005","Megatonnes","Electricity",117.58324080937
"94","Current Measures","2006","Megatonnes","Electricity",111.62446664615
"95","Current Measures","2007","Megatonnes","Electricity",119.657399499057
"96","Current Measures","2008","Megatonnes","Electricity",108.886855792309
"97","Current Measures","2009","Megatonnes","Electricity",93.7705404789474
"98","Current Measures","2010","Megatonnes","Electricity",94.5998258504498
"99","Current Measures","2011","Megatonnes","Electricity",86.8736737470649
"100","Current Measures","2012","Megatonnes","Electricity",83.3040619415771
"101","Current Measures","2013","Megatonnes","Electricity",79.7009609694916
"102","Current Measures","2014","Megatonnes","Electricity",76.2877812455184
"103","Current Measures","2015","Megatonnes","Electricity",78.9485947617741
"104","Current Measures","2016","Megatonnes","Electricity",74.256745433
"105","Current Measures","2017","Megatonnes","Electricity",72.6056960203215
"106","Current Measures","2018","Megatonnes","Electricity",62.7414022749015
"107","Current Measures","2019","Megatonnes","Electricity",61.6066678475092
"108","Current Measures","2020","Megatonnes","Electricity",53.6844601523353
"109","Current Measures","2021","Megatonnes","Electricity",51.6778138928881
"110","Current Measures","2022","Megatonnes","Electricity",54.333848500204
"111","Current Measures","2023","Megatonnes","Electricity",52.2014675386623
"112","Current Measures","2024","Megatonnes","Electricity",47.2585099204501
"113","Current Measures","2025","Megatonnes","Electricity",38.3015709105882
"114","Current Measures","2026","Megatonnes","Electricity",39.1946783843734
"115","Current Measures","2027","Megatonnes","Electricity",40.0030633750133
"116","Current Measures","2028","Megatonnes","Electricity",38.604032711255
"117","Current Measures","2029","Megatonnes","Electricity",35.9149152067266
"118","Current Measures","2030","Megatonnes","Electricity",31.0904856391529
"119","Current Measures","2031","Megatonnes","Electricity",31.6116003646054
"120","Current Measures","2032","Megatonnes","Electricity",32.3468639843179
"121","Current Measures","2033","Megatonnes","Electricity",32.5567069083293
"122","Current Measures","2034","Megatonnes","Electricity",31.3416762975445
"123","Current Measures","2035","Megatonnes","Electricity",30.7619371072043
"124","Current Measures","2036","Megatonnes","Electricity",30.0305094337068
"125","Current Measures","2037","Megatonnes","Electricity",29.4512362975487
"126","Current Measures","2038","Megatonnes","Electricity",29.0028282931375
"127","Current Measures","2039","Megatonnes","Electricity",27.8542121208002
"128","Current Measures","2040","Megatonnes","Electricity",26.7671828429677
"129","Current Measures","2041","Megatonnes","Electricity",24.5772661211025
"130","Current Measures","2042","Megatonnes","Electricity",23.4014927383272
"131","Current Measures","2043","Megatonnes","Electricity",21.5691009305697
"132","Current Measures","2044","Megatonnes","Electricity",19.5197399701395
"133","Current Measures","2045","Megatonnes","Electricity",18.0087073200368
"134","Current Measures","2046","Megatonnes","Electricity",17.7953867681786
"135","Current Measures","2047","Megatonnes","Electricity",17.9375845023336
"136","Current Measures","2048","Megatonnes","Electricity",17.8774659369314
"137","Current Measures","2049","Megatonnes","Electricity",17.9410339761379
"138","Current Measures","2050","Megatonnes","Electricity",18.0342712379381
"139","Current Measures","2005","Megatonnes","Low or Non-emitting Hydrogen Production",0
"140","Current Measures","2006","Megatonnes","Low or Non-emitting Hydrogen Production",0
"141","Current Measures","2007","Megatonnes","Low or Non-emitting Hydrogen Production",0
"142","Current Measures","2008","Megatonnes","Low or Non-emitting Hydrogen Production",0
"143","Current Measures","2009","Megatonnes","Low or Non-emitting Hydrogen Production",0
"144","Current Measures","2010","Megatonnes","Low or Non-emitting Hydrogen Production",0
"145","Current Measures","2011","Megatonnes","Low or Non-emitting Hydrogen Production",0
"146","Current Measures","2012","Megatonnes","Low or Non-emitting Hydrogen Production",0
"147","Current Measures","2013","Megatonnes","Low or Non-emitting Hydrogen Production",0
"148","Current Measures","2014","Megatonnes","Low or Non-emitting Hydrogen Production",0
"149","Current Measures","2015","Megatonnes","Low or Non-emitting Hydrogen Production",0
"150","Current Measures","2016","Megatonnes","Low or Non-emitting Hydrogen Production",0
"151","Current Measures","2017","Megatonnes","Low or Non-emitting Hydrogen Production",0
"152","Current Measures","2018","Megatonnes","Low or Non-emitting Hydrogen Production",0
"153","Current Measures","2019","Megatonnes","Low or Non-emitting Hydrogen Production",0
"154","Current Measures","2020","Megatonnes","Low or Non-emitting Hydrogen Production",0
"155","Current Measures","2021","Megatonnes","Low or Non-emitting Hydrogen Production",0
"156","Current Measures","2022","Megatonnes","Low or Non-emitting Hydrogen Production",0.001131733
"157","Current Measures","2023","Megatonnes","Low or Non-emitting Hydrogen Production",0.001347537
"158","Current Measures","2024","Megatonnes","Low or Non-emitting Hydrogen Production",0.0822883
"159","Current Measures","2025","Megatonnes","Low or Non-emitting Hydrogen Production",0.231985
"160","Current Measures","2026","Megatonnes","Low or Non-emitting Hydrogen Production",0.385963
"161","Current Measures","2027","Megatonnes","Low or Non-emitting Hydrogen Production",0.472285
"162","Current Measures","2028","Megatonnes","Low or Non-emitting Hydrogen Production",0.52276
"163","Current Measures","2029","Megatonnes","Low or Non-emitting Hydrogen Production",0.608916
"164","Current Measures","2030","Megatonnes","Low or Non-emitting Hydrogen Production",0.659348
"165","Current Measures","2031","Megatonnes","Low or Non-emitting Hydrogen Production",0.699992
"166","Current Measures","2032","Megatonnes","Low or Non-emitting Hydrogen Production",0.733446
"167","Current Measures","2033","Megatonnes","Low or Non-emitting Hydrogen Production",0.75964
"168","Current Measures","2034","Megatonnes","Low or Non-emitting Hydrogen Production",0.781174
"169","Current Measures","2035","Megatonnes","Low or Non-emitting Hydrogen Production",0.79977
"170","Current Measures","2036","Megatonnes","Low or Non-emitting Hydrogen Production",0.818448
"171","Current Measures","2037","Megatonnes","Low or Non-emitting Hydrogen Production",0.836399
"172","Current Measures","2038","Megatonnes","Low or Non-emitting Hydrogen Production",0.855045
"173","Current Measures","2039","Megatonnes","Low or Non-emitting Hydrogen Production",0.872992
"174","Current Measures","2040","Megatonnes","Low or Non-emitting Hydrogen Production",0.885377
"175","Current Measures","2041","Megatonnes","Low or Non-emitting Hydrogen Production",0.897517
"176","Current Measures","2042","Megatonnes","Low or Non-emitting Hydrogen Production",0.910641
"177","Current Measures","2043","Megatonnes","Low or Non-emitting Hydrogen Production",0.92435
"178","Current Measures","2044","Megatonnes","Low or Non-emitting Hydrogen Production",0.937246
"179","Current Measures","2045","Megatonnes","Low or Non-emitting Hydrogen Production",0.951132000000001
"180","Current Measures","2046","Megatonnes","Low or Non-emitting Hydrogen Production",0.965262000000001
"181","Current Measures","2047","Megatonnes","Low or Non-emitting Hydrogen Production",0.97958
"182","Current Measures","2048","Megatonnes","Low or Non-emitting Hydrogen Production",0.992976
"183","Current Measures","2049","Megatonnes","Low or Non-emitting Hydrogen Production",1.007212
"184","Current Measures","2050","Megatonnes","Low or Non-emitting Hydrogen Production",1.030571
"185","Current Measures","2005","Megatonnes","Transportation",156.789231398837
"186","Current Measures","2006","Megatonnes","Transportation",157.661817704718
"187","Current Measures","2007","Megatonnes","Transportation",162.652848842511
"188","Current Measures","2008","Megatonnes","Transportation",163.225256856413
"189","Current Measures","2009","Megatonnes","Transportation",162.032889410431
"190","Current Measures","2010","Megatonnes","Transportation",165.503582105083
"191","Current Measures","2011","Megatonnes","Transportation",164.423362935477
"192","Current Measures","2012","Megatonnes","Transportation",164.618385724774
"193","Current Measures","2013","Megatonnes","Transportation",167.105799721753
"194","Current Measures","2014","Megatonnes","Transportation",164.707158296229
"195","Current Measures","2015","Megatonnes","Transportation",162.59077884351
"196","Current Measures","2016","Megatonnes","Transportation",162.364838526307
"197","Current Measures","2017","Megatonnes","Transportation",165.371017447942
"198","Current Measures","2018","Megatonnes","Transportation",169.316979027229
"199","Current Measures","2019","Megatonnes","Transportation",170.163122336464
"200","Current Measures","2020","Megatonnes","Transportation",143.220233614359
"201","Current Measures","2021","Megatonnes","Transportation",150.114737099638
"202","Current Measures","2022","Megatonnes","Transportation",168.65091612
"203","Current Measures","2023","Megatonnes","Transportation",173.56609825
"204","Current Measures","2024","Megatonnes","Transportation",172.88076037
"205","Current Measures","2025","Megatonnes","Transportation",172.39661893
"206","Current Measures","2026","Megatonnes","Transportation",171.54012654
"207","Current Measures","2027","Megatonnes","Transportation",170.92744313
"208","Current Measures","2028","Megatonnes","Transportation",169.04148741
"209","Current Measures","2029","Megatonnes","Transportation",167.73420218
"210","Current Measures","2030","Megatonnes","Transportation",165.86281978
"211","Current Measures","2031","Megatonnes","Transportation",164.315257555
"212","Current Measures","2032","Megatonnes","Transportation",163.022066469
"213","Current Measures","2033","Megatonnes","Transportation",161.73077477
"214","Current Measures","2034","Megatonnes","Transportation",160.482397449
"215","Current Measures","2035","Megatonnes","Transportation",159.301879799
"216","Current Measures","2036","Megatonnes","Transportation",158.11231324
"217","Current Measures","2037","Megatonnes","Transportation",157.076118975
"218","Current Measures","2038","Megatonnes","Transportation",156.057952605
"219","Current Measures","2039","Megatonnes","Transportation",155.10117023
"220","Current Measures","2040","Megatonnes","Transportation",154.250436261
"221","Current Measures","2041","Megatonnes","Transportation",153.486259723
"222","Current Measures","2042","Megatonnes","Transportation",152.841737747
"223","Current Measures","2043","Megatonnes","Transportation",152.322381932
"224","Current Measures","2044","Megatonnes","Transportation",151.987551598
"225","Current Measures","2045","Megatonnes","Transportation",151.823220775
"226","Current Measures","2046","Megatonnes","Transportation",151.843611938
"227","Current Measures","2047","Megatonnes","Transportation",151.954691054
"228","Current Measures","2048","Megatonnes","Transportation",152.187293434
"229","Current Measures","2049","Megatonnes","Transportation",152.611957192
"230","Current Measures","2050","Megatonnes","Transportation",153.175422529
"231","Current Measures","2005","Megatonnes","Buildings",84.8494440050727
"232","Current Measures","2006","Megatonnes","Buildings",79.6627072203135
"233","Current Measures","2007","Megatonnes","Buildings",85.5204055631163
"234","Current Measures","2008","Megatonnes","Buildings",85.4325137128453
"235","Current Measures","2009","Megatonnes","Buildings",83.8652561035829
"236","Current Measures","2010","Megatonnes","Buildings",81.5053666919018
"237","Current Measures","2011","Megatonnes","Buildings",86.0148367632938
"238","Current Measures","2012","Megatonnes","Buildings",84.5349551102109
"239","Current Measures","2013","Megatonnes","Buildings",85.6590534243182
"240","Current Measures","2014","Megatonnes","Buildings",86.2359558576132
"241","Current Measures","2015","Megatonnes","Buildings",85.294219300465
"242","Current Measures","2016","Megatonnes","Buildings",84.8545423846131
"243","Current Measures","2017","Megatonnes","Buildings",87.7096065977111
"244","Current Measures","2018","Megatonnes","Buildings",92.3680408957698
"245","Current Measures","2019","Megatonnes","Buildings",93.2741018835545
"246","Current Measures","2020","Megatonnes","Buildings",89.1178698807782
"247","Current Measures","2021","Megatonnes","Buildings",87.1696046149819
"248","Current Measures","2022","Megatonnes","Buildings",81.9283228105488
"249","Current Measures","2023","Megatonnes","Buildings",81.2273826788036
"250","Current Measures","2024","Megatonnes","Buildings",79.7523191875627
"251","Current Measures","2025","Megatonnes","Buildings",78.0146344233348
"252","Current Measures","2026","Megatonnes","Buildings",76.6099481707868
"253","Current Measures","2027","Megatonnes","Buildings",75.1465651912741
"254","Current Measures","2028","Megatonnes","Buildings",73.7734125226285
"255","Current Measures","2029","Megatonnes","Buildings",72.3766709396403
"256","Current Measures","2030","Megatonnes","Buildings",70.9388755736606
"257","Current Measures","2031","Megatonnes","Buildings",70.0165103287757
"258","Current Measures","2032","Megatonnes","Buildings",68.8961143073104
"259","Current Measures","2033","Megatonnes","Buildings",67.9647513994364
"260","Current Measures","2034","Megatonnes","Buildings",66.994996474331
"261","Current Measures","2035","Megatonnes","Buildings",65.8479352665328
"262","Current Measures","2036","Megatonnes","Buildings",64.9651229900396
"263","Current Measures","2037","Megatonnes","Buildings",64.581002997872
"264","Current Measures","2038","Megatonnes","Buildings",64.2096397207451
"265","Current Measures","2039","Megatonnes","Buildings",63.949345856535
"266","Current Measures","2040","Megatonnes","Buildings",63.7453151103532
"267","Current Measures","2041","Megatonnes","Buildings",63.6061652541791
"268","Current Measures","2042","Megatonnes","Buildings",63.5235758492941
"269","Current Measures","2043","Megatonnes","Buildings",63.476271932594
"270","Current Measures","2044","Megatonnes","Buildings",63.454239954141
"271","Current Measures","2045","Megatonnes","Buildings",63.4833539094832
"272","Current Measures","2046","Megatonnes","Buildings",63.5497961298916
"273","Current Measures","2047","Megatonnes","Buildings",63.4092586849053
"274","Current Measures","2048","Megatonnes","Buildings",63.5457232232904
"275","Current Measures","2049","Megatonnes","Buildings",63.7165329538814
"276","Current Measures","2050","Megatonnes","Buildings",63.897087607109
"277","Current Measures","2005","Megatonnes","Heavy Industry",88.9892315797221
"278","Current Measures","2006","Megatonnes","Heavy Industry",88.7413067786696
"279","Current Measures","2007","Megatonnes","Heavy Industry",87.4088796064499
"280","Current Measures","2008","Megatonnes","Heavy Industry",85.8588197068612
"281","Current Measures","2009","Megatonnes","Heavy Industry",72.5300028945597
"282","Current Measures","2010","Megatonnes","Heavy Industry",75.6869847607848
"283","Current Measures","2011","Megatonnes","Heavy Industry",81.7798841154311
"284","Current Measures","2012","Megatonnes","Heavy Industry",81.8268305566788
"285","Current Measures","2013","Megatonnes","Heavy Industry",80.513213464397
"286","Current Measures","2014","Megatonnes","Heavy Industry",80.8614435808808
"287","Current Measures","2015","Megatonnes","Heavy Industry",80.5573679080247
"288","Current Measures","2016","Megatonnes","Heavy Industry",77.9796305552445
"289","Current Measures","2017","Megatonnes","Heavy Industry",77.3152699782535
"290","Current Measures","2018","Megatonnes","Heavy Industry",79.5642282916944
"291","Current Measures","2019","Megatonnes","Heavy Industry",78.7880676182336
"292","Current Measures","2020","Megatonnes","Heavy Industry",73.5758806568093
"293","Current Measures","2021","Megatonnes","Heavy Industry",76.8125528336277
"294","Current Measures","2022","Megatonnes","Heavy Industry",74.2066741646817
"295","Current Measures","2023","Megatonnes","Heavy Industry",77.1217905742437
"296","Current Measures","2024","Megatonnes","Heavy Industry",76.8143950420833
"297","Current Measures","2025","Megatonnes","Heavy Industry",74.6339865390133
"298","Current Measures","2026","Megatonnes","Heavy Industry",71.1804459930392
"299","Current Measures","2027","Megatonnes","Heavy Industry",71.0593061165503
"300","Current Measures","2028","Megatonnes","Heavy Industry",69.5353690041185
"301","Current Measures","2029","Megatonnes","Heavy Industry",66.5125832498613
"302","Current Measures","2030","Megatonnes","Heavy Industry",63.7717714186004
"303","Current Measures","2031","Megatonnes","Heavy Industry",63.6124835276113
"304","Current Measures","2032","Megatonnes","Heavy Industry",61.3115764075489
"305","Current Measures","2033","Megatonnes","Heavy Industry",59.8366537475647
"306","Current Measures","2034","Megatonnes","Heavy Industry",58.4289875210179
"307","Current Measures","2035","Megatonnes","Heavy Industry",58.3326656461091
"308","Current Measures","2036","Megatonnes","Heavy Industry",58.3114279625188
"309","Current Measures","2037","Megatonnes","Heavy Industry",58.5505468302963
"310","Current Measures","2038","Megatonnes","Heavy Industry",58.7599672367477
"311","Current Measures","2039","Megatonnes","Heavy Industry",59.0322873717396
"312","Current Measures","2040","Megatonnes","Heavy Industry",59.3687778076073
"313","Current Measures","2041","Megatonnes","Heavy Industry",59.664999023411
"314","Current Measures","2042","Megatonnes","Heavy Industry",60.0062511111782
"315","Current Measures","2043","Megatonnes","Heavy Industry",60.3777076157781
"316","Current Measures","2044","Megatonnes","Heavy Industry",60.776773497536
"317","Current Measures","2045","Megatonnes","Heavy Industry",61.2719991558302
"318","Current Measures","2046","Megatonnes","Heavy Industry",61.8286295761317
"319","Current Measures","2047","Megatonnes","Heavy Industry",62.3407283053351
"320","Current Measures","2048","Megatonnes","Heavy Industry",62.8682318968268
"321","Current Measures","2049","Megatonnes","Heavy Industry",63.4699341657697
"322","Current Measures","2050","Megatonnes","Heavy Industry",64.112851453769
"323","Current Measures","2005","Megatonnes","Agriculture",63.6071388000864
"324","Current Measures","2006","Megatonnes","Agriculture",62.2674149977202
"325","Current Measures","2007","Megatonnes","Agriculture",62.4420626346987
"326","Current Measures","2008","Megatonnes","Agriculture",61.9120689260359
"327","Current Measures","2009","Megatonnes","Agriculture",59.1714603393537
"328","Current Measures","2010","Megatonnes","Agriculture",59.3692737100013
"329","Current Measures","2011","Megatonnes","Agriculture",60.20407743074
"330","Current Measures","2012","Megatonnes","Agriculture",62.4838524982851
"331","Current Measures","2013","Megatonnes","Agriculture",64.3782360212374
"332","Current Measures","2014","Megatonnes","Agriculture",63.3912089079145
"333","Current Measures","2015","Megatonnes","Agriculture",65.0173088842716
"334","Current Measures","2016","Megatonnes","Agriculture",66.0238405721325
"335","Current Measures","2017","Megatonnes","Agriculture",66.5071681072542
"336","Current Measures","2018","Megatonnes","Agriculture",68.5374233492208
"337","Current Measures","2019","Megatonnes","Agriculture",68.9626701359055
"338","Current Measures","2020","Megatonnes","Agriculture",69.7784567351364
"339","Current Measures","2021","Megatonnes","Agriculture",68.5168220156622
"340","Current Measures","2022","Megatonnes","Agriculture",70.7915297715265
"341","Current Measures","2023","Megatonnes","Agriculture",71.4257058595911
"342","Current Measures","2024","Megatonnes","Agriculture",70.6302245508876
"343","Current Measures","2025","Megatonnes","Agriculture",70.3566048184203
"344","Current Measures","2026","Megatonnes","Agriculture",70.5820281682983
"345","Current Measures","2027","Megatonnes","Agriculture",70.6052496147617
"346","Current Measures","2028","Megatonnes","Agriculture",70.8137477710102
"347","Current Measures","2029","Megatonnes","Agriculture",71.2348161172464
"348","Current Measures","2030","Megatonnes","Agriculture",71.4047925018665
"349","Current Measures","2031","Megatonnes","Agriculture",71.5082134920517
"350","Current Measures","2032","Megatonnes","Agriculture",71.6216700151775
"351","Current Measures","2033","Megatonnes","Agriculture",71.9880573925964
"352","Current Measures","2034","Megatonnes","Agriculture",72.5144255646567
"353","Current Measures","2035","Megatonnes","Agriculture",73.1152308817836
"354","Current Measures","2036","Megatonnes","Agriculture",73.5280217180642
"355","Current Measures","2037","Megatonnes","Agriculture",73.8556188404059
"356","Current Measures","2038","Megatonnes","Agriculture",74.1507293601426
"357","Current Measures","2039","Megatonnes","Agriculture",74.4867620046091
"358","Current Measures","2040","Megatonnes","Agriculture",74.8924563430612
"359","Current Measures","2041","Megatonnes","Agriculture",75.2420961376569
"360","Current Measures","2042","Megatonnes","Agriculture",75.5925511131365
"361","Current Measures","2043","Megatonnes","Agriculture",75.9062978331904
"362","Current Measures","2044","Megatonnes","Agriculture",76.2262003095008
"363","Current Measures","2045","Megatonnes","Agriculture",76.5910056475289
"364","Current Measures","2046","Megatonnes","Agriculture",76.9557650546901
"365","Current Measures","2047","Megatonnes","Agriculture",77.2675573848737
"366","Current Measures","2048","Megatonnes","Agriculture",77.5776496074789
"367","Current Measures","2049","Megatonnes","Agriculture",77.9615877547635
"368","Current Measures","2050","Megatonnes","Agriculture",78.3886908936007
"369","Current Measures","2005","Megatonnes","Waste and Others",52.0656334389947
"370","Current Measures","2006","Megatonnes","Waste and Others",50.6791056932501
"371","Current Measures","2007","Megatonnes","Waste and Others",50.5691053693132
"372","Current Measures","2008","Megatonnes","Waste and Others",48.9365896629537
"373","Current Measures","2009","Megatonnes","Waste and Others",44.4028866669363
"374","Current Measures","2010","Megatonnes","Waste and Others",45.8814376710062
"375","Current Measures","2011","Megatonnes","Waste and Others",47.2173379181966
"376","Current Measures","2012","Megatonnes","Waste and Others",47.4591104131185
"377","Current Measures","2013","Megatonnes","Waste and Others",48.906714686071
"378","Current Measures","2014","Megatonnes","Waste and Others",46.3310547694124
"379","Current Measures","2015","Megatonnes","Waste and Others",47.4531759953852
"380","Current Measures","2016","Megatonnes","Waste and Others",47.9884430799707
"381","Current Measures","2017","Megatonnes","Waste and Others",48.7028047239603
"382","Current Measures","2018","Megatonnes","Waste and Others",49.5936983870437
"383","Current Measures","2019","Megatonnes","Waste and Others",49.567432569041
"384","Current Measures","2020","Megatonnes","Waste and Others",46.0572544496163
"385","Current Measures","2021","Megatonnes","Waste and Others",46.9838046490339
"386","Current Measures","2022","Megatonnes","Waste and Others",45.9338007155201
"387","Current Measures","2023","Megatonnes","Waste and Others",46.026804796675
"388","Current Measures","2024","Megatonnes","Waste and Others",46.419073692802
"389","Current Measures","2025","Megatonnes","Waste and Others",46.6300281994266
"390","Current Measures","2026","Megatonnes","Waste and Others",46.9099248729584
"391","Current Measures","2027","Megatonnes","Waste and Others",47.1560908786153
"392","Current Measures","2028","Megatonnes","Waste and Others",47.0753736707078
"393","Current Measures","2029","Megatonnes","Waste and Others",47.0803625531071
"394","Current Measures","2030","Megatonnes","Waste and Others",46.9760943888579
"395","Current Measures","2031","Megatonnes","Waste and Others",47.0155793859731
"396","Current Measures","2032","Megatonnes","Waste and Others",47.0452909248502
"397","Current Measures","2033","Megatonnes","Waste and Others",47.0708905389819
"398","Current Measures","2034","Megatonnes","Waste and Others",47.0681056550376
"399","Current Measures","2035","Megatonnes","Waste and Others",47.1942618253925
"400","Current Measures","2036","Megatonnes","Waste and Others",47.334416321329
"401","Current Measures","2037","Megatonnes","Waste and Others",47.5150789131266
"402","Current Measures","2038","Megatonnes","Waste and Others",47.6670470370712
"403","Current Measures","2039","Megatonnes","Waste and Others",47.8606817015763
"404","Current Measures","2040","Megatonnes","Waste and Others",48.0935534517218
"405","Current Measures","2041","Megatonnes","Waste and Others",48.3171497722928
"406","Current Measures","2042","Megatonnes","Waste and Others",48.5529624336382
"407","Current Measures","2043","Megatonnes","Waste and Others",48.8173234049998
"408","Current Measures","2044","Megatonnes","Waste and Others",49.1086423555786
"409","Current Measures","2045","Megatonnes","Waste and Others",49.4385205105045
"410","Current Measures","2046","Megatonnes","Waste and Others",49.7900541092285
"411","Current Measures","2047","Megatonnes","Waste and Others",50.1560266001272
"412","Current Measures","2048","Megatonnes","Waste and Others",50.5493658654628
"413","Current Measures","2049","Megatonnes","Waste and Others",50.9976313916507
"414","Current Measures","2050","Megatonnes","Waste and Others",51.4811197684976
"415","Current Measures","2005","Megatonnes","Land Use, Land Use Change and Forestry",-5.54239861
"416","Current Measures","2006","Megatonnes","Land Use, Land Use Change and Forestry",-19.332705407
"417","Current Measures","2007","Megatonnes","Land Use, Land Use Change and Forestry",-16.876486383
